产品开发新增类型必须在此文件注册占号，否则一旦重复概不负责,,
请保持阵型 一行一个 ,,
编号切勿重复 产品开发使用59999以下的数字 60000以上留给客开 建议留白 一次占用50-100个,,
编号,英文名称,备注 
2429,Information_Audit_remove,(信息审核)审核信息时减签
2430,Information_Magezine_New,(期刊管理)新建期刊栏目
2431,Information_Magezine_Modify,(期刊管理)修改期刊栏目
2432,Information_Magezine_Delete,(期刊管理)删除期刊栏目
2433,Information_InfoSummary_New,(期刊管理)新增期刊内容
2434,Information_InfoSummary_Modify,(期刊管理)修改期刊内容
2435,Information_InfoSummary_Delete,(期刊管理)删除期刊内容
2436,Information_Magezine_Cancel,(期刊管理)撤销期刊内容
2437,Information_Magezine_Publish,(期刊管理)发布
2438,Information_Magezine_Unpublish,(期刊管理)取消发布
2439,Information_Magezine_PublishPass,(期刊管理)审核  通过可发布
2440,Information_InfoCheck_Grade,(信息考核)评分
2441,Information_InfoCheck_ModefyGrade,(信息考核)修改评分
2442,Info_SendSetAuthorize,菜单权限授权与变更
2443,Information_Magezine_PassNoPublish,(期刊管理)审核  通过不发布
2444,Information_Magezine_StepBack,(期刊管理)审核  退回采编
2445,Information_Magezine_ManualRating,(期刊管理)信息积分表中的评分
2446,Information_Form_CreateForm,(应用设置) 报送单新建
2447,Information_Form_ModifyForm,(应用设置) 报送单修改
2448,Information_Form_DefaultForm,(应用设置) 设置默认报送单
2449,Information_Form_Authorize,(应用设置) 设置授权
2450,Information_Form_Detele,(应用设置) 报送单删除
2451,Information_Form_Enable,(应用设置) 报送单启用
2452,Information_Form_Disabled,(应用设置) 报送单停用
2453,Information_Type_New,(应用设置) 类型管理新增 
2454,Information_Type_Modify,(应用设置) 类型管理修改 
2455,Information_Type_Detele,(应用设置) 类型管理删除 
2456,Information_Score_New,(应用设置) 评分标准新建 
2457,Information_Score_Modify,(应用设置) 评分标准修改 
2458,Information_Score_Enable,(应用设置) 评分标准启用 
2459,Information_Score_Disabled,(应用设置) 评分标准停用 
2460,Information_TaoHong_New,(应用设置) 期刊版式新建 
2461,Information_TaoHong_Modify,(应用设置) 期刊版式修改 
2462,Information_TaoHong_Detele,(应用设置) 期刊版式删除 
2463,Information_TaoHong_Template,(应用设置) 期刊版式下载模板标签列表 
2464,Information_Element_Modify,(应用设置) 报送单元素修改 
2465,Information_Element_Enable,(应用设置) 报送单元素启用 
2466,Information_Element_Disabled,(应用设置) 报送单元素停用 
2467,Information_Element_Excel,(应用设置) 报送单元素导出Excel 
2468,Information_SwitchSet_Configiten,(应用设置) 报送单元素开关设置 累计每次发布得分 
2469,Information_SwitchSet_Max,(应用设置) 报送单元素开关设置 最高得分 
2470,Information_Stat,信息统计
2471,Info_Score_Publish_Delete,(应用设置) 评分发布 
2472,Info_Score_Publish_Save,(应用设置) 评分发布保存 
2473,Information_Magezine_ModifyDraft,(期刊管理)修改待发期刊
2474,Information_Magezine_ModifyUnpublish,(期刊管理)修改取消发布期刊
2475,Information_Magezine_ModifyNopass,(期刊管理)修改审核不通过期刊
2476,Information_template_New,(应用设置) 应用模板新建 
